superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label
353,-77,-76,-79,-100,-67,-75,-53,-61,-63,-72,2
354,-77,-76,-79,-100,-67,-76,-54,-62,-63,-71,2
355,-77,-76,-80,-100,-67,-74,-53,-61,-63,-72,2
356,-77,-76,-79,-100,-67,-76,-53,-61,-63,-72,2
357,-77,-75,-79,-100,-67,-75,-53,-61,-63,-71,2
358,-77,-75,-79,-100,-67,-75,-54,-61,-63,-72,2
359,-77,-75,-79,-100,-66,-75,-53,-62,-63,-72,2
360,-77,-75,-80,-100,-67,-76,-54,-61,-63,-72,2
361,-77,-76,-80,-100,-67,-75,-54,-62,-63,-72,2
362,-77,-76,-80,-100,-67,-76,-54,-61,-63,-72,2
363,-77,-76,-79,-100,-66,-76,-53,-62,-63,-72,2
364,-77,-76,-81,-100,-67,-76,-54,-61,-63,-72,2
365,-77,-76,-80,-100,-67,-77,-53,-62,-63,-71,2
366,-77,-76,-80,-100,-67,-76,-53,-61,-63,-72,2
367,-76,-76,-80,-100,-67,-78,-54,-62,-64,-72,2
368,-77,-75,-81,-100,-66,-76,-53,-61,-64,-72,2
369,-77,-75,-80,-100,-67,-78,-54,-62,-64,-72,2
370,-78,-76,-80,-100,-67,-77,-53,-61,-64,-73,2
371,-77,-76,-80,-100,-66,-79,-53,-62,-64,-72,2
372,-77,-75,-81,-100,-67,-77,-53,-61,-63,-72,2
373,-77,-76,-80,-100,-67,-77,-53,-61,-63,-73,2
374,-77,-76,-80,-100,-67,-77,-53,-62,-63,-72,2
375,-77,-77,-80,-100,-67,-76,-54,-61,-63,-72,2
376,-77,-77,-79,-100,-66,-77,-53,-62,-63,-73,2
377,-77,-77,-80,-100,-66,-76,-53,-62,-63,-73,2
378,-76,-76,-80,-100,-66,-76,-54,-62,-63,-72,2
379,-77,-75,-80,-100,-67,-77,-54,-62,-63,-73,2
380,-77,-76,-79,-100,-66,-77,-52,-62,-63,-73,2
381,-77,-75,-79,-100,-66,-75,-53,-61,-63,-72,2
382,-77,-75,-79,-100,-66,-75,-54,-62,-64,-73,2
383,-77,-76,-79,-100,-66,-74,-54,-61,-63,-75,2
384,-76,-76,-79,-100,-66,-76,-54,-62,-64,-74,2
385,-76,-75,-79,-100,-66,-75,-53,-61,-64,-73,2
386,-76,-76,-79,-100,-100,-75,-53,-62,-63,-73,2
387,-77,-75,-79,-100,-66,-75,-53,-61,-63,-73,2
388,-100,-100,-100,-100,-100,-100,-54,-62,-63,-72,2
389,-76,-75,-80,-100,-66,-74,-53,-61,-64,-72,2
390,-77,-76,-79,-100,-66,-76,-53,-61,-64,-74,2
391,-77,-76,-80,-100,-67,-75,-53,-62,-64,-72,2
392,-100,-100,-100,-100,-66,-75,-54,-61,-63,-72,2
393,-77,-75,-78,-100,-66,-76,-53,-62,-63,-73,2
394,-77,-76,-79,-100,-67,-75,-54,-62,-63,-73,2
395,-77,-75,-79,-100,-66,-76,-54,-62,-63,-72,2
396,-78,-75,-80,-100,-66,-75,-54,-62,-63,-73,2
397,-77,-75,-80,-100,-66,-76,-53,-62,-63,-73,2
398,-77,-75,-80,-100,-66,-75,-54,-62,-63,-72,2
399,-77,-75,-79,-100,-66,-75,-54,-62,-63,-72,2
400,-76,-76,-80,-100,-66,-75,-53,-62,-63,-73,2
401,-77,-76,-80,-100,-66,-76,-53,-61,-64,-72,2
402,-77,-76,-80,-100,-66,-75,-53,-61,-64,-72,2
403,-77,-76,-79,-100,-66,-75,-54,-62,-63,-72,2
