superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door
344,-72,-70,-59,-63,-84,-85,-82,-78,-100,-78,0,0
345,-72,-82,-55,-62,-82,-83,-77,-74,-89,-82,0,0
346,-73,-72,-63,-63,-79,-74,-100,-70,-74,-88,0,0
347,-70,-72,-62,-70,-79,-74,-85,-72,-80,-79,0,0
348,-72,-71,-59,-76,-100,-74,-80,-71,-77,-85,0,0
349,-87,-74,-64,-69,-75,-78,-73,-77,-76,-100,0,0
350,-76,-70,-63,-67,-100,-79,-76,-100,-100,-86,0,0
351,-72,-71,-62,-70,-75,-100,-76,-82,-74,-86,0,0
352,-73,-73,-61,-68,-74,-80,-77,-100,-77,-100,0,0
353,-76,-72,-57,-68,-100,-100,-70,-73,-73,-88,0,0
354,-85,-74,-57,-62,-86,-86,-71,-70,-73,-87,0,0
355,-78,-69,-56,-65,-81,-100,-72,-70,-83,-86,0,0
356,-78,-69,-66,-58,-73,-79,-79,-70,-82,-78,0,0
357,-76,-82,-56,-68,-77,-81,-74,-74,-75,-78,0,0
358,-79,-78,-53,-81,-76,-75,-74,-72,-80,-84,0,0
359,-82,-100,-59,-67,-77,-84,-80,-85,-83,-100,0,0
360,-100,-100,-66,-82,-82,-87,-100,-85,-100,-100,0,0
361,-100,-100,-68,-80,-100,-88,-100,-91,-100,-100,0,0
362,-87,-100,-63,-67,-82,-84,-77,-81,-100,-100,0,0
363,-82,-68,-49,-74,-74,-75,-68,-67,-65,-82,0,0
364,-80,-71,-50,-100,-78,-76,-67,-65,-64,-81,0,0
365,-82,-69,-54,-78,-100,-75,-70,-63,-64,-85,0,0
366,-77,-100,-50,-70,-78,-73,-72,-63,-67,-100,0,0
367,-78,-75,-53,-77,-85,-74,-76,-66,-74,-100,0,0
368,-100,-85,-45,-69,-81,-74,-79,-66,-70,-82,0,0
369,-81,-78,-49,-72,-72,-80,-88,-68,-75,-88,0,0
370,-100,-74,-54,-67,-74,-100,-80,-66,-71,-81,0,0
371,-76,-68,-56,-60,-75,-78,-76,-70,-69,-100,0,0
372,-87,-69,-46,-60,-79,-84,-81,-67,-64,-80,0,0
373,-73,-68,-48,-68,-75,-79,-100,-65,-100,-100,0,0
374,-78,-76,-49,-58,-74,-77,-76,-100,-66,-77,0,0
375,-100,-69,-51,-67,-79,-82,-77,-100,-73,-82,0,0
376,-76,-68,-59,-57,-100,-84,-76,-71,-65,-81,0,0
377,-70,-69,-55,-59,-76,-82,-86,-64,-63,-81,0,0
378,-74,-73,-59,-58,-81,-78,-72,-65,-64,-100,0,0
379,-72,-68,-51,-56,-82,-76,-71,-66,-64,-81,0,0
